NodeName	copy	mutations	combined	Gene	EntrezID
1	ABCD4(5826)	1	0	1	ABCD4	5826
2	ACTL6A(86)	1	0	1	ACTL6A	86
3	ACTN1(87)	1	0	1	ACTN1	87
4	ACTN2(88)	1	0	1	ACTN2	88
5	ADAMTSL4(54507)	1	0	1	ADAMTSL4	54507
6	ADCK1(57143)	1	0	1	ADCK1	57143
7	ADSS(159)	1	0	1	ADSS	159
8	AGGF1(55109)	1	0	1	AGGF1	55109
9	AHSA1(10598)	1	0	1	AHSA1	10598
10	AKAP14(158798)	0	1	1	AKAP14	158798
11	AKR1C1(1645)	1	0	1	AKR1C1	1645
12	AKR1C3(8644)	1	0	1	AKR1C3	8644
13	AKT3(10000)	1	0	1	AKT3	10000
14	ALDH7A1(501)	1	0	1	ALDH7A1	501
15	ANKRA2(57763)	1	0	1	ANKRA2	57763
16	ANKRD11(29123)	1	0	1	ANKRD11	29123
17	ANKRD6(22881)	1	0	1	ANKRD6	22881
18	ANXA11(311)	1	0	1	ANXA11	311
19	AP3B1(8546)	1	0	1	AP3B1	8546
20	AP3S1(1176)	1	0	1	AP3S1	1176
21	APBA2(321)	1	0	1	APBA2	321
22	APC(324)	1	0	1	APC	324
23	APRT(353)	1	0	1	APRT	353
24	ARF4(378)	1	0	1	ARF4	378
25	ARG2(384)	1	0	1	ARG2	384
26	ARHGEF3(50650)	1	0	1	ARHGEF3	50650
27	ARID4B(51742)	1	0	1	ARID4B	51742
28	ARL8B(55207)	1	0	1	ARL8B	55207
29	ASB13(79754)	1	0	1	ASB13	79754
30	ASB2(51676)	1	0	1	ASB2	51676
31	ASCC3(10973)	1	0	1	ASCC3	10973
32	ATG10(83734)	1	0	1	ATG10	83734
33	ATG12(9140)	1	0	1	ATG12	9140
34	ATG5(9474)	1	0	1	ATG5	9474
35	ATP6V1D(51382)	1	0	1	ATP6V1D	51382
36	ATXN3(4287)	1	0	1	ATXN3	4287
37	BACH2(60468)	1	0	1	BACH2	60468
38	BATF(10538)	1	0	1	BATF	10538
39	BCKDHB(594)	1	0	1	BCKDHB	594
40	BDKRB1(623)	1	0	1	BDKRB1	623
41	BDKRB2(624)	1	0	1	BDKRB2	624
42	BDP1(55814)	1	0	1	BDP1	55814
43	BHMT(635)	1	0	1	BHMT	635
44	BNIP3(664)	1	0	1	BNIP3	664
45	BRCA1(672)	0	1	1	BRCA1	672
46	BTF3(689)	1	0	1	BTF3	689
47	C14orf1(11161)	1	0	1	C14orf1	11161
48	C14orf133(63894)	1	0	1	C14orf133	63894
49	C6orf165(154313)	1	0	1	C6orf165	154313
50	C6orf203(51250)	1	0	1	C6orf203	51250
51	CALM1(801)	1	0	1	CALM1	801
52	CALML3(810)	1	0	1	CALML3	810
53	CALML5(51806)	1	0	1	CALML5	51806
54	CAMK4(814)	1	0	1	CAMK4	814
55	CASP8AP2(9994)	1	0	1	CASP8AP2	9994
56	CAST(831)	1	0	1	CAST	831
57	CBFA2T3(863)	1	0	1	CBFA2T3	863
58	CCNB1(891)	1	0	1	CCNB1	891
59	CCNC(892)	1	0	1	CCNC	892
60	CCNH(902)	1	0	1	CCNH	902
61	CD180(4064)	1	0	1	CD180	4064
62	CD226(10666)	1	0	1	CD226	10666
63	CDH15(1013)	1	0	1	CDH15	1013
64	CDH23(64072)	0	1	1	CDH23	64072
65	CDK10(8558)	1	0	1	CDK10	8558
66	CDK7(1022)	1	0	1	CDK7	1022
67	CDT1(81620)	1	0	1	CDT1	81620
68	CENPH(64946)	1	0	1	CENPH	64946
69	CEP170(9859)	1	0	1	CEP170	9859
70	CETN3(1070)	1	0	1	CETN3	1070
71	CGA(1081)	1	0	1	CGA	1081
72	CHD1(1105)	1	0	1	CHD1	1105
73	CHGA(1113)	1	0	1	CHGA	1113
74	CHML(1122)	1	0	1	CHML	1122
75	CHRM3(1131)	1	0	1	CHRM3	1131
76	CKMT2(1160)	1	0	1	CKMT2	1160
77	CMYA5(202333)	1	0	1	CMYA5	202333
78	CNDP1(84735)	1	0	1	CNDP1	84735
79	CNDP2(55748)	1	0	1	CNDP2	55748
80	CNR1(1268)	1	0	1	CNR1	1268
81	COL4A3BP(10087)	1	0	1	COL4A3BP	10087
82	COQ6(51004)	1	0	1	COQ6	51004
83	CPNE7(27132)	1	0	1	CPNE7	27132
84	CPSF2(53981)	1	0	1	CPSF2	53981
85	CREB5(9586)	0	1	1	CREB5	9586
86	CRHBP(1393)	1	0	1	CRHBP	1393
87	CSNK1G3(1456)	1	0	1	CSNK1G3	1456
88	CTDP1(9150)	1	0	1	CTDP1	9150
89	CTSS(1520)	1	0	1	CTSS	1520
90	CYB5A(1528)	1	0	1	CYB5A	1528
91	CYBA(1535)	1	0	1	CYBA	1535
92	CYP2E1(1571)	1	0	1	CYP2E1	1571
93	DCLRE1C(64421)	0	1	1	DCLRE1C	64421
94	DCP2(167227)	1	0	1	DCP2	167227
95	DDX24(57062)	1	0	1	DDX24	57062
96	DDX4(54514)	1	0	1	DDX4	54514
97	DHFR(1719)	1	0	1	DHFR	1719
98	DHX29(54505)	1	0	1	DHX29	54505
99	DICER1(23405)	1	0	1	DICER1	23405
100	DIO2(1734)	1	0	1	DIO2	1734
101	DLST(1743)	1	0	1	DLST	1743
102	DPEP1(1800)	1	0	1	DPEP1	1800
103	DPYSL4(10570)	1	0	1	DPYSL4	10570
104	DUX4(22947)	1	0	1	DUX4	22947
105	ECHS1(1892)	1	0	1	ECHS1	1892
106	ECM1(1893)	1	0	1	ECM1	1893
107	EDARADD(128178)	1	0	1	EDARADD	128178
108	EDEM1(9695)	1	0	1	EDEM1	9695
109	EDIL3(10085)	1	0	1	EDIL3	10085
110	EFNA5(1946)	1	0	1	EFNA5	1946
111	EIF2B2(8892)	1	0	1	EIF2B2	8892
112	EIF2S1(1965)	1	0	1	EIF2S1	1965
113	ELL2(22936)	1	0	1	ELL2	22936
114	ENC1(8507)	1	0	1	ENC1	8507
115	ENSA(2029)	1	0	1	ENSA	2029
116	ENTPD5(957)	1	0	1	ENTPD5	957
117	EPHA7(2045)	1	0	1	EPHA7	2045
118	ERBB2IP(55914)	1	0	1	ERBB2IP	55914
119	ERCC8(1161)	1	0	1	ERCC8	1161
120	ERH(2079)	1	0	1	ERH	2079
121	ERO1LB(56605)	1	0	1	ERO1LB	56605
122	ESM1(11082)	1	0	1	ESM1	11082
123	ESR1(2099)	0	1	1	ESR1	2099
124	ESRRB(2103)	1	0	1	ESRRB	2103
125	EXO1(9156)	1	0	1	EXO1	9156
126	F2R(2149)	1	0	1	F2R	2149
127	F2RL1(2150)	1	0	1	F2RL1	2150
128	F2RL2(2151)	1	0	1	F2RL2	2151
129	FAM107A(11170)	1	0	1	FAM107A	11170
130	FAM46A(55603)	1	0	1	FAM46A	55603
131	FANCA(2175)	1	0	1	FANCA	2175
132	FBLN5(10516)	1	0	1	FBLN5	10516
133	FBN2(2201)	1	0	1	FBN2	2201
134	FBXL4(26235)	1	0	1	FBXL4	26235
135	FBXO18(84893)	1	0	1	FBXO18	84893
136	FER(2241)	1	0	1	FER	2241
137	FH(2271)	1	0	1	FH	2271
138	FHIT(2272)	1	0	1	FHIT	2272
139	FHL5(9457)	1	0	1	FHL5	9457
140	FLNB(2317)	1	0	1	FLNB	2317
141	FNTA(2339)	1	0	1	FNTA	2339
142	FNTB(2342)	1	0	1	FNTB	2342
143	FOS(2353)	1	0	1	FOS	2353
144	FOXA1(3169)	1	0	1	FOXA1	3169
145	GABRR1(2569)	1	0	1	GABRR1	2569
146	GABRR2(2570)	1	0	1	GABRR2	2570
147	GALR1(2587)	1	0	1	GALR1	2587
148	GATA3(2625)	0	1	1	GATA3	2625
149	GDI2(2665)	1	0	1	GDI2	2665
150	GLRX(2745)	1	0	1	GLRX	2745
151	GNB4(59345)	1	0	1	GNB4	59345
152	GNG4(2786)	1	0	1	GNG4	2786
153	GOLGA5(9950)	1	0	1	GOLGA5	9950
154	GPBP1(65056)	1	0	1	GPBP1	65056
155	GPHN(10243)	1	0	1	GPHN	10243
156	GPX2(2877)	1	0	1	GPX2	2877
157	GREM2(64388)	1	0	1	GREM2	64388
158	GRIK2(2898)	1	0	1	GRIK2	2898
159	GRK6(2870)	0	1	1	GRK6	2870
160	GSC(145258)	1	0	1	GSC	145258
161	GSTZ1(2954)	1	0	1	GSTZ1	2954
162	GTF2A1(2957)	1	0	1	GTF2A1	2957
163	GTF2H2(2966)	1	0	1	GTF2H2	2966
164	GZMA(3001)	1	0	1	GZMA	3001
165	HACE1(57531)	1	0	1	HACE1	57531
166	HAPLN1(1404)	1	0	1	HAPLN1	1404
167	HCFC1(3054)	0	1	1	HCFC1	3054
168	HEATR1(55127)	1	0	1	HEATR1	55127
169	HERC2(8924)	1	0	1	HERC2	8924
170	HESX1(8820)	1	0	1	HESX1	8820
171	HEXB(3074)	1	0	1	HEXB	3074
172	HIST1H2BB(3018)	0	1	1	HIST1H2BB	3018
173	HMGCR(3156)	1	0	1	HMGCR	3156
174	HNF4A(3172)	0	1	1	HNF4A	3172
175	HOMER1(9456)	1	0	1	HOMER1	9456
176	HSD17B4(3295)	1	0	1	HSD17B4	3295
177	HTR1A(3350)	1	0	1	HTR1A	3350
178	IBTK(25998)	1	0	1	IBTK	25998
179	IFI27(3429)	1	0	1	IFI27	3429
180	IGF1R(3480)	1	0	1	IGF1R	3480
181	IKBKB(3551)	1	0	1	IKBKB	3551
182	IL15RA(3601)	1	0	1	IL15RA	3601
183	IL17RD(54756)	1	0	1	IL17RD	54756
184	IL1F5(26525)	0	1	1	IL1F5	26525
185	IL2RA(3559)	1	0	1	IL2RA	3559
186	IL31RA(133396)	1	0	1	IL31RA	133396
187	IL6ST(3572)	1	0	1	IL6ST	3572
188	INPP5A(3632)	1	0	1	INPP5A	3632
189	IQGAP2(10788)	1	0	1	IQGAP2	10788
190	IRF2BP2(359948)	1	0	1	IRF2BP2	359948
191	ITPK1(3705)	1	0	1	ITPK1	3705
192	ITPR1(3708)	1	0	1	ITPR1	3708
193	JDP2(122953)	1	0	1	JDP2	122953
194	JMY(133746)	1	0	1	JMY	133746
195	KCNG2(26251)	1	0	1	KCNG2	26251
196	KCNK1(3775)	1	0	1	KCNK1	3775
197	KCNN2(3781)	1	0	1	KCNN2	3781
198	KLF6(1316)	1	0	1	KLF6	1316
199	LGALS8(3964)	1	0	1	LGALS8	3964
200	LGMN(5641)	1	0	1	LGMN	5641
201	LMNB1(4001)	1	0	1	LMNB1	4001
202	LNPEP(4012)	1	0	1	LNPEP	4012
203	LOX(4015)	1	0	1	LOX	4015
204	LYST(1130)	1	0	1	LYST	1130
205	MAD1L1(8379)	1	0	1	MAD1L1	8379
206	MAFK(7975)	1	0	1	MAFK	7975
207	MAP1B(4131)	1	0	1	MAP1B	4131
208	MAP3K1(4214)	1	0	1	MAP3K1	4214
209	MAP3K7(6885)	1	0	1	MAP3K7	6885
210	MAP3K9(4293)	1	0	1	MAP3K9	4293
211	MAX(4149)	1	0	1	MAX	4149
212	MBP(4155)	1	0	1	MBP	4155
213	MC1R(4157)	1	0	1	MC1R	4157
214	MCC(4163)	1	0	1	MCC	4163
215	MCL1(4170)	1	0	1	MCL1	4170
216	MED6(10001)	1	0	1	MED6	10001
217	MEF2C(4208)	1	0	1	MEF2C	4208
218	MEGF10(84466)	1	0	1	MEGF10	84466
219	MGMT(4255)	1	0	1	MGMT	4255
220	MICAL1(64780)	1	0	1	MICAL1	64780
221	MLH3(27030)	1	0	1	MLH3	27030
222	MOAP1(64112)	1	0	1	MOAP1	64112
223	MPP5(64398)	1	0	1	MPP5	64398
224	MSH3(4437)	1	0	1	MSH3	4437
225	MTG1(92170)	1	0	1	MTG1	92170
226	MTR(4548)	1	0	1	MTR	4548
227	MVD(4597)	1	0	1	MVD	4597
228	MYC(4609)	1	0	1	MYC	4609
229	MYH14(79784)	0	1	1	MYH14	79784
230	NDUFB1(4707)	1	0	1	NDUFB1	4707
231	NEK9(91754)	1	0	1	NEK9	91754
232	NET1(10276)	1	0	1	NET1	10276
233	NFATC1(4772)	1	0	1	NFATC1	4772
234	NGB(58157)	1	0	1	NGB	58157
235	NID1(4811)	1	0	1	NID1	4811
236	NLN(57486)	1	0	1	NLN	57486
237	NPC2(10577)	1	0	1	NPC2	10577
238	NR2F1(7025)	1	0	1	NR2F1	7025
239	NRXN3(9369)	1	0	1	NRXN3	9369
240	NT5E(4907)	1	0	1	NT5E	4907
241	NUMB(8650)	1	0	1	NUMB	8650
242	OCLN(4950)	1	0	1	OCLN	4950
243	OSTM1(28962)	1	0	1	OSTM1	28962
244	OTUB2(78990)	1	0	1	OTUB2	78990
245	OXTR(5021)	0	1	1	OXTR	5021
246	PAM(5066)	1	0	1	PAM	5066
247	PAPOLA(10914)	1	0	1	PAPOLA	10914
248	PARD6G(84552)	1	0	1	PARD6G	84552
249	PCSK1(5122)	1	0	1	PCSK1	5122
250	PDE4D(5144)	1	0	1	PDE4D	5144
251	PDGFA(5154)	1	0	1	PDGFA	5154
252	PDHB(5162)	1	0	1	PDHB	5162
253	PEX5L(51555)	1	0	1	PEX5L	51555
254	PGF(5228)	1	0	1	PGF	5228
255	PGGT1B(5229)	1	0	1	PGGT1B	5229
256	PIGH(5283)	1	0	1	PIGH	5283
257	PIK3C2B(5287)	0	1	1	PIK3C2B	5287
258	PIK3CA(5290)	1	0	1	PIK3CA	5290
259	PIK3R1(5295)	1	0	1	PIK3R1	5295
260	PJA2(9867)	1	0	1	PJA2	9867
261	PLK2(10769)	1	0	1	PLK2	10769
262	PNMA1(9240)	1	0	1	PNMA1	9240
263	PNRC1(10957)	1	0	1	PNRC1	10957
264	POLB(5423)	1	0	1	POLB	5423
265	POMT2(29954)	1	0	1	POMT2	29954
266	POU3F2(5454)	1	0	1	POU3F2	5454
267	PPAP2A(8611)	1	0	1	PPAP2A	8611
268	PPFIA4(8497)	0	1	1	PPFIA4	8497
269	PPIC(5480)	1	0	1	PPIC	5480
270	PPIF(10105)	1	0	1	PPIF	10105
271	PPP2R2D(55844)	1	0	1	PPP2R2D	55844
272	PRDM1(639)	1	0	1	PRDM1	639
273	PREP(5550)	1	0	1	PREP	5550
274	PRIMA1(145270)	1	0	1	PRIMA1	145270
275	PRKAR1B(5575)	1	0	1	PRKAR1B	5575
276	PSEN1(5663)	1	0	1	PSEN1	5663
277	PSMC1(5700)	1	0	1	PSMC1	5700
278	PTEN(5728)	1	0	1	PTEN	5728
279	PTPN21(11099)	1	0	1	PTPN21	11099
280	PYCRL(65263)	0	1	1	PYCRL	65263
281	RAB15(376267)	1	0	1	RAB15	376267
282	RAB3C(115827)	1	1	2	RAB3C	115827
