NodeName	copy	mutations	combined	Gene	EntrezID
1	ACAD8(27034)	1	0	1	ACAD8	27034
2	ACR(49)	1	0	1	ACR	49
3	ACTN2(88)	1	0	1	ACTN2	88
4	ADSS(159)	1	0	1	ADSS	159
5	AGGF1(55109)	1	0	1	AGGF1	55109
6	AKT3(10000)	1	0	1	AKT3	10000
7	ALDH7A1(501)	1	0	1	ALDH7A1	501
8	ANAPC5(51433)	1	0	1	ANAPC5	51433
9	ANKRA2(57763)	1	0	1	ANKRA2	57763
10	ANKRD11(29123)	1	0	1	ANKRD11	29123
11	AP3B1(8546)	1	0	1	AP3B1	8546
12	AP3S1(1176)	1	0	1	AP3S1	1176
13	APC(324)	1	0	1	APC	324
14	APRT(353)	1	0	1	APRT	353
15	ARID4B(51742)	1	0	1	ARID4B	51742
16	ARL6IP4(51329)	1	0	1	ARL6IP4	51329
17	ARSA(410)	1	0	1	ARSA	410
18	ATG10(83734)	1	0	1	ATG10	83734
19	ATG12(9140)	1	0	1	ATG12	9140
20	B3GAT1(27087)	1	0	1	B3GAT1	27087
21	B3GNT4(79369)	1	0	1	B3GNT4	79369
22	BCL7A(605)	1	0	1	BCL7A	605
23	BDP1(55814)	1	0	1	BDP1	55814
24	BHMT(635)	1	0	1	BHMT	635
25	BRD1(23774)	1	0	1	BRD1	23774
26	BRIP1(83990)	0	2	2	BRIP1	83990
27	BTF3(689)	1	0	1	BTF3	689
28	CABP1(9478)	1	0	1	CABP1	9478
29	CAMK4(814)	1	0	1	CAMK4	814
30	CAMKK2(10645)	1	0	1	CAMKK2	10645
31	CAST(831)	1	0	1	CAST	831
32	CBFA2T3(863)	1	0	1	CBFA2T3	863
33	CCL1(6346)	1	0	1	CCL1	6346
34	CCL11(6356)	1	0	1	CCL11	6356
35	CCL13(6357)	1	0	1	CCL13	6357
36	CCL2(6347)	1	0	1	CCL2	6347
37	CCL7(6354)	1	0	1	CCL7	6354
38	CCL8(6355)	1	0	1	CCL8	6355
